Student Grades Report
==================================================
ID: 0, Name: Kiana Lor, Assignment: Midterm Exam, Score: 68
ID: 0, Name: Kiana Lor, Assignment: Research Paper, Score: 33
ID: 0, Name: Kiana Lor, Assignment: Case Study, Score: 50
ID: 0, Name: Kiana Lor, Assignment: Lab Report, Score: 7
ID: 0, Name: Kiana Lor, Assignment: Homework 1, Score: 59
ID: 0, Name: Kiana Lor, Assignment: Final Exam, Score: 1
ID: 0, Name: Kiana Lor, Assignment: Project 1, Score: 39
ID: 0, Name: Kiana Lor, Assignment: Research Paper, Score: 1
ID: 0, Name: Kiana Lor, Assignment: Quiz 1, Score: 11
ID: 0, Name: Kiana Lor, Assignment: Lab Report, Score: 8
ID: 0, Name: Kiana Lor, Assignment: Midterm Exam, Score: 14
ID: 0, Name: Kiana Lor, Assignment: Quiz 1, Score: 99
ID: 0, Name: Kiana Lor, Assignment: Final Exam, Score: 46
ID: 0, Name: Kiana Lor, Assignment: Homework 1, Score: 5
ID: 0, Name: Kiana Lor, Assignment: Presentation, Score: 55
ID: 0, Name: Kiana Lor, Assignment: Discussion Board, Score: 57
ID: 0, Name: Kiana Lor, Assignment: Final Exam, Score: 73
ID: 1, Name: Joshua Lonaker, Assignment: Research Paper, Score: 94
ID: 1, Name: Joshua Lonaker, Assignment: Presentation, Score: 2
ID: 1, Name: Joshua Lonaker, Assignment: Quiz 1, Score: 43
ID: 1, Name: Joshua Lonaker, Assignment: Final Exam, Score: 3
ID: 1, Name: Joshua Lonaker, Assignment: Lab Report, Score: 9
ID: 1, Name: Joshua Lonaker, Assignment: Midterm Exam, Score: 74
ID: 1, Name: Joshua Lonaker, Assignment: Research Paper, Score: 91
ID: 1, Name: Joshua Lonaker, Assignment: Midterm Exam, Score: 53
ID: 1, Name: Joshua Lonaker, Assignment: Final Exam, Score: 12
ID: 1, Name: Joshua Lonaker, Assignment: Case Study, Score: 94
ID: 1, Name: Joshua Lonaker, Assignment: Presentation, Score: 57
ID: 1, Name: Joshua Lonaker, Assignment: Project 1, Score: 14
ID: 2, Name: Dakota Blanco, Assignment: Final Exam, Score: 45
ID: 2, Name: Dakota Blanco, Assignment: Discussion Board, Score: 41
ID: 2, Name: Dakota Blanco, Assignment: Discussion Board, Score: 19
ID: 2, Name: Dakota Blanco, Assignment: Project 1, Score: 38
ID: 3, Name: Natasha Yarusso, Assignment: Research Paper, Score: 74
ID: 3, Name: Natasha Yarusso, Assignment: Midterm Exam, Score: 11
ID: 3, Name: Natasha Yarusso, Assignment: Final Exam, Score: 93
ID: 3, Name: Natasha Yarusso, Assignment: Case Study, Score: 57
ID: 3, Name: Natasha Yarusso, Assignment: Presentation, Score: 63
ID: 3, Name: Natasha Yarusso, Assignment: Project 1, Score: 80
ID: 3, Name: Natasha Yarusso, Assignment: Discussion Board, Score: 46
ID: 3, Name: Natasha Yarusso, Assignment: Homework 1, Score: 3
ID: 3, Name: Natasha Yarusso, Assignment: Midterm Exam, Score: 67
ID: 3, Name: Natasha Yarusso, Assignment: Case Study, Score: 25
ID: 3, Name: Natasha Yarusso, Assignment: Discussion Board, Score: 31
ID: 3, Name: Natasha Yarusso, Assignment: Research Paper, Score: 59
ID: 3, Name: Natasha Yarusso, Assignment: Quiz 1, Score: 88
ID: 3, Name: Natasha Yarusso, Assignment: Presentation, Score: 1
ID: 3, Name: Natasha Yarusso, Assignment: Case Study, Score: 97
ID: 3, Name: Natasha Yarusso, Assignment: Lab Report, Score: 52
ID: 3, Name: Natasha Yarusso, Assignment: Homework 1, Score: 28
ID: 3, Name: Natasha Yarusso, Assignment: Final Exam, Score: 71
ID: 3, Name: Natasha Yarusso, Assignment: Midterm Exam, Score: 87
ID: 3, Name: Natasha Yarusso, Assignment: Lab Report, Score: 57
ID: 3, Name: Natasha Yarusso, Assignment: Quiz 1, Score: 29
ID: 3, Name: Natasha Yarusso, Assignment: Project 1, Score: 96
ID: 4, Name: Brooke Cazares, Assignment: Presentation, Score: 87
ID: 4, Name: Brooke Cazares, Assignment: Project 1, Score: 87
ID: 4, Name: Brooke Cazares, Assignment: Discussion Board, Score: 47
ID: 4, Name: Brooke Cazares, Assignment: Final Exam, Score: 69
ID: 4, Name: Brooke Cazares, Assignment: Presentation, Score: 97
ID: 4, Name: Brooke Cazares, Assignment: Final Exam, Score: 23
ID: 4, Name: Brooke Cazares, Assignment: Case Study, Score: 61
ID: 4, Name: Brooke Cazares, Assignment: Research Paper, Score: 63
ID: 4, Name: Brooke Cazares, Assignment: Project 1, Score: 96
ID: 4, Name: Brooke Cazares, Assignment: Quiz 1, Score: 25
ID: 4, Name: Brooke Cazares, Assignment: Quiz 1, Score: 35
ID: 4, Name: Brooke Cazares, Assignment: Discussion Board, Score: 26
ID: 4, Name: Brooke Cazares, Assignment: Final Exam, Score: 36
ID: 4, Name: Brooke Cazares, Assignment: Homework 1, Score: 58
ID: 5, Name: Rochelle Johnson, Assignment: Homework 1, Score: 19
ID: 5, Name: Rochelle Johnson, Assignment: Final Exam, Score: 61
ID: 5, Name: Rochelle Johnson, Assignment: Project 1, Score: 98
ID: 5, Name: Rochelle Johnson, Assignment: Research Paper, Score: 12
ID: 5, Name: Rochelle Johnson, Assignment: Quiz 1, Score: 89
ID: 5, Name: Rochelle Johnson, Assignment: Research Paper, Score: 51
ID: 5, Name: Rochelle Johnson, Assignment: Lab Report, Score: 84
ID: 5, Name: Rochelle Johnson, Assignment: Quiz 1, Score: 49
ID: 5, Name: Rochelle Johnson, Assignment: Midterm Exam, Score: 92
ID: 5, Name: Rochelle Johnson, Assignment: Project 1, Score: 21
ID: 6, Name: Joey Abreu, Assignment: Research Paper, Score: 66
ID: 6, Name: Joey Abreu, Assignment: Lab Report, Score: 20
ID: 6, Name: Joey Abreu, Assignment: Quiz 1, Score: 89
ID: 6, Name: Joey Abreu, Assignment: Midterm Exam, Score: 52
ID: 6, Name: Joey Abreu, Assignment: Project 1, Score: 46
ID: 7, Name: Preston Suarez, Assignment: Quiz 1, Score: 54
ID: 7, Name: Preston Suarez, Assignment: Discussion Board, Score: 89
ID: 7, Name: Preston Suarez, Assignment: Final Exam, Score: 23
ID: 7, Name: Preston Suarez, Assignment: Homework 1, Score: 65
ID: 7, Name: Preston Suarez, Assignment: Midterm Exam, Score: 35
ID: 7, Name: Preston Suarez, Assignment: Case Study, Score: 12
ID: 7, Name: Preston Suarez, Assignment: Homework 1, Score: 40
ID: 7, Name: Preston Suarez, Assignment: Lab Report, Score: 32
ID: 7, Name: Preston Suarez, Assignment: Final Exam, Score: 14
ID: 7, Name: Preston Suarez, Assignment: Homework 1, Score: 46
ID: 7, Name: Preston Suarez, Assignment: Project 1, Score: 22
ID: 7, Name: Preston Suarez, Assignment: Presentation, Score: 58
ID: 7, Name: Preston Suarez, Assignment: Quiz 1, Score: 87
ID: 7, Name: Preston Suarez, Assignment: Research Paper, Score: 27
ID: 7, Name: Preston Suarez, Assignment: Final Exam, Score: 38
ID: 7, Name: Preston Suarez, Assignment: Discussion Board, Score: 89
ID: 7, Name: Preston Suarez, Assignment: Lab Report, Score: 55
ID: 7, Name: Preston Suarez, Assignment: Project 1, Score: 58
ID: 7, Name: Preston Suarez, Assignment: Homework 1, Score: 67
ID: 7, Name: Preston Suarez, Assignment: Research Paper, Score: 81
ID: 8, Name: Lee Dong, Assignment: Homework 1, Score: 64
ID: 8, Name: Lee Dong, Assignment: Final Exam, Score: 2
ID: 8, Name: Lee Dong, Assignment: Project 1, Score: 6
ID: 8, Name: Lee Dong, Assignment: Research Paper, Score: 31
ID: 8, Name: Lee Dong, Assignment: Quiz 1, Score: 10
ID: 8, Name: Lee Dong, Assignment: Research Paper, Score: 21
ID: 8, Name: Lee Dong, Assignment: Midterm Exam, Score: 89
ID: 8, Name: Lee Dong, Assignment: Final Exam, Score: 53
ID: 8, Name: Lee Dong, Assignment: Case Study, Score: 28
ID: 8, Name: Lee Dong, Assignment: Presentation, Score: 86
ID: 8, Name: Lee Dong, Assignment: Project 1, Score: 32
ID: 8, Name: Lee Dong, Assignment: Case Study, Score: 19
ID: 8, Name: Lee Dong, Assignment: Project 1, Score: 87
ID: 8, Name: Lee Dong, Assignment: Research Paper, Score: 39
